                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7563,                 3.8358,                 1.7339,                 0.7222,                0.39721,                0.49733,                0.32646,                0.91804,                 3.3965,                 1.1352,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.2908,                 1.8126,                 1.2585,                0.58492,                0.51023,                0.58565,                0.40794,                 1.0796,                  2.574,                 1.1789,             0.00051165,             0.00051165,             0.00051165
                      2,                 1.2578,                 1.4697,                 1.2233,                0.72244,                0.68588,                0.77924,                0.51494,                 1.1002,                 1.9053,                 1.1945,             0.00076798,             0.00076798,             0.00076798
                      3,                 1.2516,                 1.2233,                 1.2201,                0.45357,                0.74916,                0.58155,                 0.3599,                 1.2955,                 3.4567,                 1.3828,               0.001019,               0.001019,               0.001019
                      4,                 1.3584,                  1.397,                 1.2812,                0.51034,                0.66946,                 0.6142,                0.28484,                 1.4875,                 2.5278,                 1.6165,              0.0012648,              0.0012648,              0.0012648
                      5,                 1.3903,                 1.3376,                 1.3711,                  0.594,                0.68555,                 0.6348,                0.35809,                 1.4423,                 4.1186,                 1.6609,              0.0015053,              0.0015053,              0.0015053
                      6,                 1.3388,                 1.2858,                 1.3298,                0.56834,                0.54223,                0.59241,                0.32726,                 1.4881,                 3.3447,                 1.8484,               0.001568,               0.001568,               0.001568
                      7,                 1.3824,                 1.3331,                 1.4081,                 0.1179,                0.30903,                0.11001,                0.04998,                 1.6329,                 8.7026,                 2.3064,               0.001568,               0.001568,               0.001568
                      8,                 1.3712,                 1.2221,                   1.36,                0.17751,                0.23986,                0.12185,                0.06397,                  1.795,                 6.8084,                  2.112,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3869,                  1.293,                 1.3927,                0.52166,                0.57517,                0.52833,                0.25133,                 1.5319,                 2.9764,                 1.7928,               0.001535,               0.001535,               0.001535
                     10,                 1.3526,                 1.2595,                 1.3826,                 0.4658,                0.64189,                0.53413,                0.30694,                 1.4785,                 3.8182,                 1.7821,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3744,                 1.1461,                 1.3623,                0.55081,                0.70204,                0.66187,                0.39859,                 1.4672,                 2.6373,                  1.558,               0.001502,               0.001502,               0.001502
                     12,                 1.2256,                 1.0351,                 1.2124,                0.74795,                0.85811,                0.87838,                0.61825,                 1.0677,                 2.4468,                  1.227,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1715,                0.98048,                 1.2197,                0.82214,                0.87838,                0.89671,                0.63416,                0.96752,                 1.5862,                 1.1576,               0.001469,               0.001469,               0.001469
                     14,                 1.1737,                0.95865,                 1.2536,                0.83808,                 0.8674,                0.91274,                0.62811,                 1.0844,                 1.1656,                 1.2252,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1829,                0.96325,                 1.2343,                0.85403,                0.88889,                0.93909,                0.65116,                 1.0926,                 1.1186,                  1.184,               0.001436,               0.001436,               0.001436
                     16,                 1.2499,                0.98321,                  1.269,                0.86311,                0.86359,                0.95103,                0.66739,                 1.0466,                  1.049,                 1.1639,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2155,                 0.9463,                 1.2342,                0.78286,                0.72599,                0.90634,                0.64291,                 1.0484,                 1.5656,                 1.1946,              0.0014029,              0.0014029,              0.0014029
                     18,                  1.151,                0.88561,                 1.2036,                0.79722,                0.90558,                0.90491,                0.61205,                 1.0472,                0.89961,                 1.2324,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1448,                 0.8776,                 1.2063,                 0.8311,                0.87926,                0.92229,                0.65139,                 1.0593,                0.90565,                 1.1948,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.1923,                0.93065,                 1.2434,                0.77931,                0.78269,                   0.86,                0.60529,                  1.056,                0.94468,                 1.2009,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.1607,                0.89517,                 1.2276,                0.94306,                0.89228,                0.96962,                0.72808,                 0.9936,                0.77683,                 1.1144,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1426,                0.84509,                 1.2309,                0.90107,                0.93754,                0.97877,                0.72511,                0.95428,                0.72019,                 1.0815,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.1236,                0.81339,                 1.1861,                0.87192,                0.86485,                0.93995,                0.67223,                 1.0142,                0.81263,                 1.1901,              0.0013039,              0.0013039,              0.0013039
                     24,                  1.063,                0.80106,                   1.16,                0.91131,                0.90824,                0.95031,                0.70221,                0.94379,                0.77435,                 1.1505,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.0693,                0.77029,                 1.1916,                0.89453,                0.94089,                0.96289,                0.71911,                0.88433,                0.84904,                 1.1153,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.0569,                0.80439,                 1.1677,                0.89939,                0.95728,                0.97372,                0.74509,                0.90423,                0.67891,                 1.0902,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.0612,                0.76237,                 1.1836,                0.88585,                 0.9527,                0.97152,                0.75464,                0.89547,                0.67194,                 1.0781,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.0999,                0.77204,                 1.2077,                0.98228,                 0.9631,                0.99052,                0.77168,                  0.911,                0.63329,                 1.0817,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1035,                0.76452,                 1.1852,                0.91782,                0.95007,                0.98476,                0.73051,                0.97688,                  0.691,                 1.1346,              0.0012049,              0.0012049,              0.0012049
                     30,                  1.083,                0.77888,                 1.1873,                0.96679,                0.95042,                0.98241,                0.76974,                 0.8493,                0.68695,                 1.0748,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.0376,                0.71655,                 1.1572,                0.94714,                0.97973,                 0.9872,                0.79555,                0.84709,                0.63196,                  1.078,              0.0011719,              0.0011719,              0.0011719
                     32,                  1.098,                0.76345,                 1.1964,                0.95185,                 0.9527,                0.98238,                0.76778,                0.87948,                0.72104,                 1.0985,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0934,                0.72737,                  1.147,                0.91453,                 0.9527,                0.97598,                0.75753,                0.86731,                0.68261,                 1.0801,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.0136,                0.71862,                  1.137,                0.88407,                0.96873,                0.98154,                0.74243,                0.90131,                0.66011,                 1.0818,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0654,                0.74426,                 1.1382,                0.96441,                0.94595,                0.98209,                0.71758,                0.94688,                0.65427,                 1.1194,              0.0011059,              0.0011059,              0.0011059
                     36,                 0.9975,                0.69224,                 1.1179,                0.95928,                0.98317,                0.98991,                0.78488,                0.81181,                0.61778,                 1.0517,              0.0010894,              0.0010894,              0.0010894
                     37,                0.97793,                 0.6744,                 1.1044,                0.96861,                0.97729,                0.99217,                0.76654,                0.85199,                0.62047,                 1.0441,              0.0010729,              0.0010729,              0.0010729
                     38,                0.95878,                0.64747,                 1.0853,                0.94732,                0.96622,                0.98417,                0.77991,                0.82669,                0.59259,                 1.0298,              0.0010564,              0.0010564,              0.0010564
                     39,                0.94604,                0.62087,                 1.1005,                0.96016,                0.98649,                0.99056,                0.77337,                0.83768,                0.57229,                 1.0134,              0.0010399,              0.0010399,              0.0010399
                     40,                0.97731,                0.65879,                 1.1322,                0.97145,                0.99257,                0.99114,                0.79456,                0.77768,                 0.5528,                0.99947,              0.0010234,              0.0010234,              0.0010234
                     41,                0.94383,                0.62571,                 1.0889,                0.95903,                0.98727,                0.98798,                0.79159,                0.81028,                0.55431,                 1.0169,              0.0010069,              0.0010069,              0.0010069
                     42,                0.96785,                0.65188,                 1.1103,                0.99428,                0.98362,                0.99455,                0.80372,                0.78223,                0.51158,                 1.0146,             0.00099036,             0.00099036,             0.00099036
                     43,                0.97431,                0.66858,                 1.1397,                0.97731,                0.99338,                  0.994,                0.81577,                0.73531,                0.51232,                 1.0037,             0.00097386,             0.00097386,             0.00097386
                     44,                 0.9857,                0.66122,                 1.0956,                0.95792,                0.99324,                0.99299,                0.82672,                0.78081,                0.52187,                  1.013,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0209,                0.67739,                 1.1513,                0.97273,                0.99324,                0.99156,                0.79647,                0.82989,                0.53963,                 1.0442,             0.00094085,             0.00094085,             0.00094085
                     46,                0.94334,                0.61363,                 1.0795,                0.95677,                0.99647,                 0.9888,                0.80664,                0.76537,                0.53708,                 1.0235,             0.00092435,             0.00092435,             0.00092435
                     47,                0.96137,                0.65981,                 1.1237,                0.96347,                0.94172,                0.98217,                0.79942,                0.74313,                0.53552,                 1.0118,             0.00090785,             0.00090785,             0.00090785
                     48,                0.97595,                0.64564,                 1.1179,                 0.9654,                0.99324,                0.98681,                0.82984,                0.72083,                0.49771,                0.97896,             0.00089134,             0.00089134,             0.00089134
                     49,                0.86737,                0.56461,                 1.0517,                0.95774,                0.99324,                0.98743,                0.82516,                0.71227,                 0.4863,                0.99824,             0.00087484,             0.00087484,             0.00087484
                     50,                0.88943,                0.58382,                 1.0727,                 0.9618,                0.99324,                0.98838,                0.81923,                0.72933,                0.51376,                 1.0003,             0.00085834,             0.00085834,             0.00085834
                     51,                0.97616,                0.65103,                 1.1061,                0.96554,                0.99676,                0.99385,                0.82684,                0.76958,                0.48025,                0.98665,             0.00084184,             0.00084184,             0.00084184
                     52,                0.90899,                0.61965,                 1.0814,                0.98556,                0.98145,                0.99433,                0.82217,                0.72984,                 0.4804,                 0.9882,             0.00082533,             0.00082533,             0.00082533
                     53,                0.95768,                0.63933,                 1.1082,                0.96032,                0.97935,                0.99107,                 0.8193,                0.78458,                0.50483,                 1.0066,             0.00080883,             0.00080883,             0.00080883
                     54,                0.88676,                0.57783,                 1.0717,                0.97474,                0.99324,                0.99108,                0.84591,                0.68947,                0.46873,                0.97803,             0.00079233,             0.00079233,             0.00079233
                     55,                0.84525,                0.56469,                 1.0373,                0.98884,                0.97288,                 0.9944,                0.83438,                0.72266,                 0.4709,                0.98478,             0.00077582,             0.00077582,             0.00077582
                     56,                0.88763,                0.59406,                 1.0637,                0.96304,                      1,                  0.995,                0.84663,                 0.7166,                 0.4561,                0.96842,             0.00075932,             0.00075932,             0.00075932
                     57,                0.85677,                0.56497,                 1.0291,                 0.9811,                0.99324,                0.99434,                0.85689,                 0.6692,                0.44313,                 0.9589,             0.00074282,             0.00074282,             0.00074282
                     58,                0.87384,                0.55766,                 1.0467,                0.97393,                0.99324,                0.99272,                0.85006,                0.65609,                0.43941,                0.95959,             0.00072631,             0.00072631,             0.00072631
                     59,                0.85612,                0.54783,                 1.0467,                0.97697,                0.99056,                0.99295,                0.85118,                0.66123,                0.43741,                0.96884,             0.00070981,             0.00070981,             0.00070981
                     60,                0.86285,                0.57505,                 1.0497,                0.97846,                0.99324,                0.99447,                0.84445,                0.68807,                0.44187,                0.97795,             0.00069331,             0.00069331,             0.00069331
                     61,                0.86916,                0.55597,                 1.0479,                0.98289,                0.99324,                0.99467,                0.85169,                0.67039,                0.42637,                0.95977,              0.0006768,              0.0006768,              0.0006768
                     62,                0.87476,                 0.5509,                 1.0623,                0.98514,                0.99324,                0.99379,                0.86672,                0.62204,                 0.4304,                0.94478,              0.0006603,              0.0006603,              0.0006603
                     63,                0.85167,                0.52403,                 1.0493,                0.97524,                0.99324,                0.98992,                 0.8633,                0.65704,                 0.4368,                0.95675,              0.0006438,              0.0006438,              0.0006438
                     64,                0.84664,                0.53906,                 1.0559,                0.98054,                0.99324,                0.99026,                0.85084,                0.67201,                0.42724,                0.95999,             0.00062729,             0.00062729,             0.00062729
                     65,                0.82713,                0.52226,                 1.0361,                0.98814,                0.99486,                0.99267,                0.86768,                0.62886,                0.42099,                0.94471,             0.00061079,             0.00061079,             0.00061079
                     66,                0.77443,                0.49765,                 1.0149,                0.99031,                0.99704,                0.99307,                0.87116,                0.60635,                0.40227,                0.93881,             0.00059429,             0.00059429,             0.00059429
                     67,                0.77576,                0.49699,                 1.0252,                0.99024,                0.99991,                0.99447,                 0.8634,                0.60937,                0.39413,                0.93515,             0.00057778,             0.00057778,             0.00057778
                     68,                0.78118,                0.48877,                 1.0107,                0.99242,                0.99324,                0.99493,                0.84811,                 0.6469,                 0.4046,                0.94682,             0.00056128,             0.00056128,             0.00056128
                     69,                0.76796,                0.47291,                 1.0169,                0.99576,                0.99275,                  0.995,                0.85013,                0.66402,                0.40718,                0.94305,             0.00054478,             0.00054478,             0.00054478
                     70,                0.75476,                0.48811,                0.99268,                0.98834,                      1,                0.99413,                0.85055,                0.66453,                0.40604,                0.93369,             0.00052827,             0.00052827,             0.00052827
                     71,                0.78811,                0.50226,                 1.0062,                0.98694,                0.99324,                0.99345,                0.87097,                0.60408,                0.40362,                0.91945,             0.00051177,             0.00051177,             0.00051177
                     72,                0.77413,                0.48639,                 1.0141,                0.97616,                0.99476,                0.99385,                0.88327,                0.59613,                0.39516,                0.91341,             0.00049527,             0.00049527,             0.00049527
                     73,                0.78104,                0.48642,                 1.0142,                0.97053,                0.99324,                0.99231,                0.87703,                0.59162,                0.40344,                0.90909,             0.00047876,             0.00047876,             0.00047876
                     74,                0.80252,                0.49543,                 1.0004,                0.97739,                  0.994,                0.99305,                0.86402,                0.59427,                0.38875,                0.91437,             0.00046226,             0.00046226,             0.00046226
                     75,                0.77257,                0.48865,                 1.0121,                0.97757,                0.99796,                0.99304,                0.87653,                0.59823,                0.39424,                0.90963,             0.00044576,             0.00044576,             0.00044576
                     76,                0.75509,                0.46978,                 1.0154,                0.97534,                      1,                0.99297,                0.87533,                0.59397,                0.39232,                0.91277,             0.00042925,             0.00042925,             0.00042925
                     77,                0.75639,                0.47859,                 1.0092,                0.97816,                      1,                0.99329,                0.88935,                 0.5722,                0.38455,                0.90401,             0.00041275,             0.00041275,             0.00041275
                     78,                0.72994,                0.45486,                0.99535,                0.98559,                      1,                0.99493,                0.87593,                0.60091,                0.37958,                0.90901,             0.00039625,             0.00039625,             0.00039625
                     79,                0.74854,                0.46968,                0.98736,                0.99062,                      1,                  0.995,                0.87841,                0.60281,                0.37898,                0.91273,             0.00037974,             0.00037974,             0.00037974
                     80,                0.70448,                0.45044,                0.98154,                0.99005,                      1,                  0.995,                0.86796,                0.61149,                0.38099,                 0.9147,             0.00036324,             0.00036324,             0.00036324
                     81,                0.71109,                 0.4554,                0.97854,                 0.9829,                      1,                0.99487,                0.89098,                0.56083,                  0.371,                0.89998,             0.00034674,             0.00034674,             0.00034674
                     82,                0.72213,                0.46815,                 0.9907,                0.99135,                 0.9997,                0.99473,                 0.8943,                0.53769,                0.35804,                0.89004,             0.00033023,             0.00033023,             0.00033023
                     83,                0.69451,                0.44697,                0.97741,                0.98364,                      1,                 0.9946,                0.89881,                0.53433,                0.35146,                0.88502,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.6861,                0.44678,                0.97299,                0.98984,                      1,                0.99493,                0.89114,                 0.5369,                0.34683,                 0.8822,             0.00029723,             0.00029723,             0.00029723
                     85,                0.69751,                0.44908,                0.97665,                0.99041,                      1,                  0.995,                 0.9057,                0.52582,                 0.3372,                0.87936,             0.00028072,             0.00028072,             0.00028072
                     86,                0.69452,                0.44113,                 0.9645,                0.99195,                0.99324,                0.99493,                0.90326,                0.52037,                0.34093,                0.88019,             0.00026422,             0.00026422,             0.00026422
                     87,                0.66956,                0.44936,                0.96199,                0.99444,                0.99324,                0.99493,                0.90959,                0.52023,                0.32644,                0.88249,             0.00024772,             0.00024772,             0.00024772
                     88,                0.66811,                0.44568,                0.98579,                0.99121,                0.99338,                0.99493,                0.92024,                0.52848,                0.32734,                  0.882,             0.00023121,             0.00023121,             0.00023121
                     89,                0.66755,                0.41779,                0.96034,                0.98918,                0.99324,                0.99481,                0.91114,                0.53512,                0.33272,                0.88283,             0.00021471,             0.00021471,             0.00021471
                     90,                0.65819,                0.39447,                0.94949,                0.98553,                0.99324,                 0.9948,                0.90935,                0.53808,                0.33741,                0.88503,             0.00019821,             0.00019821,             0.00019821
                     91,                0.66333,                0.40417,                0.94958,                 0.9848,                      1,                0.99493,                 0.8945,                0.54462,                0.34938,                0.88414,              0.0001817,              0.0001817,              0.0001817
                     92,                0.64673,                0.42031,                0.94834,                0.98942,                      1,                  0.995,                0.89908,                0.53474,                 0.3418,                0.88083,              0.0001652,              0.0001652,              0.0001652
                     93,                0.61256,                0.38238,                0.91775,                0.99396,                      1,                  0.995,                 0.9039,                0.52541,                0.32822,                0.87807,              0.0001487,              0.0001487,              0.0001487
                     94,                0.64828,                0.39921,                0.95525,                 0.9957,                      1,                  0.995,                0.90414,                0.50961,                0.33095,                0.87506,             0.00013219,             0.00013219,             0.00013219
                     95,                0.59593,                 0.3776,                0.89441,                0.99557,                      1,                  0.995,                0.90442,                0.50861,                0.33459,                0.87269,             0.00011569,             0.00011569,             0.00011569
                     96,                0.61367,                0.37818,                0.92024,                0.99568,                      1,                  0.995,                0.89877,                0.51031,                0.33089,                0.87187,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.59539,                 0.3813,                0.91617,                0.99588,                      1,                  0.995,                    0.9,                0.50724,                0.32768,                0.87135,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.59816,                0.36947,                0.91215,                0.99619,                      1,                  0.995,                0.89866,                 0.5093,                0.32341,                0.87091,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.56975,                0.34776,                0.89062,                0.99614,                      1,                  0.995,                0.90517,                0.50106,                 0.3223,                0.86958,             4.9677e-05,             4.9677e-05,             4.9677e-05
